,key,translations,count
312,club,俱乐部,24
313,retourner,返回,24
314,tel,电话,24
315,utiliser,使用,24
316,site,地点,24
317,débile,愚蠢的,24
318,situation,情况,23
319,parent,家长,23
320,besoin,需要,23
321,chance,机会,23
322,chien,简,23
323,car,车,23
324,instant,立即的,23
325,garder,保持,23
326,supposer,认为,23
327,femme,女性,23
328,prix,大奖赛,23
329,concerner,忧虑,23
330,truc,事物,22
331,raison,存在的理由,22
332,présenter,展示,22
333,compte,帐户,22
334,éviter,避免,22
335,monter,上去,22
336,ainsi,因此,22
337,loin,腰部,22
338,demande,要求,22
339,sentiment,情绪,22
340,train,火车,22
341,victime,受害者,22
342,Lunacy,疯狂,22
343,super,极好的,22
344,troisième,第三,22
345,servir,服务,22
346,importer,进口商,22
347,dos,的,22
348,exemple,例子,21
349,suivre,跟随,21
350,préparer,准备,21
351,homme,男人,21
352,finir,结束,21
353,maladie,疾病,21
354,sida,喜欢,21
355,accepter,接受,21
356,apercevoir,通知,21
357,reste,停留,21
358,presque,普雷斯克,21
359,force,力量,21
360,endroit,地方,21
361,résultat,结果,21
362,visage,面貌,21
363,pardon,赦免,20
364,mineur,次要的,20
365,e,e,20
366,université,大学,20
367,ville,维尔,20
368,avouer,承认,20
369,suite,套房,20
370,bas,巴斯,20
371,leur,他们的,20
372,virus,病毒,20
373,larme,眼泪,20
374,retenir,保持,20
375,faute,错误,20
376,refuser,拒绝,20
377,tard,晚的,20
378,terminer,结束,20
379,cheveu,头发,20
380,sauf,除了,20
381,assassin,刺客,20
382,criminel,刑事,20
383,primaire,基本的,20
384,deuxième,第二,20
385,fabriquer,制作,20
386,groupe,集团,20
387,heureux,快乐的,20
388,vérité,真相,20
389,tourner,转动,20
390,décider,决定,19
391,ensuite,套间,19
392,réussir,成功,19
393,commettre,犯罪,19
394,livre,书,19
395,continuer,继续,19
396,ensemble,合奏,19
397,sens,感性,19
398,gros,格罗斯,19
399,préférer,更喜欢,19
400,pareil,相同,19
401,complètement,完全地,19
402,bord,博德,19
403,esprit,精神,19
404,peine,惩罚,19
405,amour,恋情,19
406,derrière,在后面,19
407,paraître,出现,19
408,coupable,有罪的,19
409,intention,意图,19
410,cahier,笔记本,19
411,propre,自己的,19
412,écouter,听,19
413,Yūsuke,佑介,19
414,raté,错过了,19
415,rentrée,回到学校,18
416,national,国家的,18
417,visite,访问,18
418,capable,有能力的,18
419,annoncer,宣布,18
420,enseignement,教育,18
421,gentil,种类,18
422,or,或者,18
423,entrée,主菜,18
424,texto,文本,18
425,dessus,多于,18
426,Tokura,德仓,18
427,remarquer,评论,18
428,),）,18
429,plein,普莱因,18
430,intérieur,内部的,18
431,eau,淡香水,18
432,cacher,隐藏,18
433,cinq,五,18
434,vacance,假期,18
435,sœur,姐姐,18
436,autour,大约,18
437,vengeance,复仇,18
438,lever,杠杆,18
439,asseoir,坐,17
440,bouche,布什,17
441,scolaire,学校,17
442,plan,计划,17
443,parfois,有时,17
444,rater,评价者,17
445,déclarer,公布,17
446,choisir,选择,17
447,valeur,价值,17
448,réalité,现实,17
449,considérer,考虑,17
450,proviseur,主要的,17
451,envoyer,发送,17
452,bonheur,幸福,17
453,test,测试,17
454,possible,可能的,17
455,centre,中心,17
456,sorte,种类,17
457,rêve,梦,17
458,perdre,失去,17
459,harcèlement,骚扰,17
460,vivant,活力十足,17
461,machine,机器,17
462,compter,数数,17
463,féliciter,祝贺,17
464,preuve,证据,17
465,type,类型,17
466,établissement,设立,16
467,espérer,希望,16
468,1,1,16
469,numéro,数字,16
470,Monsieur,先生,16
471,niveau,等级,16
472,bureau,局,16
473,4,4,16
474,principe,普林西比,16
475,malade,生病的,16
476,absolument,绝对地,16
477,plaisir,乐趣,16
478,hôpital,医院,16
479,agir,行动,16
480,réaliser,意识到,16
481,poche,很少,16
482,doigt,手指,16
483,vidéo,视频,16
484,B,乙,16
485,nul,无,16
486,Ayaka,绫香,16
487,projet,项目,16
488,vide,维迪,15
489,profiter,享受,15
490,occasion,场合,15
491,pauvre,贫穷的,15
492,attention,注意力,15
493,partie,部分,15
494,réfléchir,反思,15
495,accompagner,陪,15
496,média,平均的,15
497,camarade,同志,15
498,photo,照片,15
499,lendemain,第二天,15
500,ami,阿米,15
501,société,公司,15
502,vite,迅速地,15
503,hasard,机会,15
504,regretter,后悔,15
505,rencontrer,见面,15
506,assassiner,谋杀,15
507,inventer,发明,15
508,simplement,简单地,15
509,franchement,坦率地说,15
510,labo,拉博,15
511,détester,讨厌,15
512,autrement,否则,15
513,Mizuho,瑞穗,15
514,salon,沙龙,15
515,pied,花哨的,15
516,imbécile,愚蠢的,15
517,demain,明天,15
518,mur,穆尔,15
519,bombe,炸弹,15
520,adresser,地址,14
521,long,长的,14
522,travailler,上班,14
523,table,桌子,14
524,retrouver,寻找,14
525,collégien,大学生,14
526,état,国家,14
527,protéger,保护,14
528,Takenaka,竹中,14
529,papier,纸质的,14
530,puisqu’,自从,14
531,chacun,每个,14
532,beau,花花公子,14
533,enfermer,锁起来,14
534,lancer,枪骑兵,14
535,génial,惊人的,14
536,A,A,14
537,connaissance,意识,14
538,prononcer,发音,14
539,parole,言语,14
540,directement,直接地,14
541,journée,白天,14
542,valoir,值得,14
543,surprise,惊喜,14
544,marcher,走,14
545,cent,分,13
546,période,时期,13
547,choix,选择,13
548,remplir,充满,13
549,prétexte,借口,13
550,enseigner,教,13
551,Masayoshi,正义,13
552,expérience,经验,13
553,nuit,夜,13
554,appel,上诉,13
555,personnel,人员,13
556,haine,衣服,13
557,Oh,哦,13
558,noir,黑色,13
559,quitter,放弃者,13
560,sac,囊,13
561,autant,尽可能多,13
562,attirer,吸引,13
563,contraire,对面的,13
564,mesure,措施,13
565,noyer,核桃,13
566,génie,天才,13
567,page,页,13
568,bout,回合,13
569,délégué,代表,13
570,supérette,便利店,13
571,hikikomori,蛰小森,13
572,honte,耻辱,13
573,secondaire,中学,12
574,grâce,优雅,12
575,laboratoire,实验室,12
576,expliquer,解释,12
577,événement,事件,12
578,calme,冷静的,12
579,propos,提案,12
580,ici,伊西,12
581,ignorer,忽略,12
582,personnellement,亲自,12
583,répéter,重复,12
584,règle,统治者,12
585,malgré,尽管,12
586,rapport,关系,12
587,physique,体质,12
588,sérieux,严肃的,12
589,contaminer,污染,12
590,longtemps,很长时间,12
591,toute,全部,12
592,joue,戏剧,12
593,base,根据,12
594,manquer,错过,12
595,loi,莱,12
596,responsabilité,责任,12
597,décevoir,辜负,12
598,éclater,爆裂,12
599,manuel,曼努埃尔,12
600,scientifique,科学家,12
601,cuisine,美食,12
602,proposer,提议者,12
603,retour,后退,12
604,lourd,重的,12
605,crier,哭泣者,12
606,œil,眼睛,12
607,foutre,他妈的,12
608,courir,跑步,12
609,phrase,短语,12
610,peiner,佩纳,12
611,crever,死,12
612,châtier,惩戒,12
613,ancien,古代,12
614,douter,怀疑,12
615,néanmoins,尽管如此,11
616,film,电影,11
617,public,民众,11
618,boîte,盒子,11
619,adulte,成人,11
620,quatrième,第四,11
621,concours,竞赛,11
622,éducation,教育,11
623,époque,时代,11
624,conscience,良心,11
625,simple,简单的,11
626,reprendre,恢复,11
627,confiance,相信,11
628,général,一般的,11
629,rappeler,提醒,11
630,obliger,有义务,11
631,permettre,允许,11
632,été,夏天,11
633,choc,巧克力,11
634,habiter,居住,11
635,donne,多恩,11
636,oreille,耳朵,11
637,commercial,商业的,11
638,chocolat,巧克力,11
639,croiser,叉,11
640,tour,旅游,11
641,feuille,叶子,11
642,vêtement,服装,11
643,minute,分钟,11
644,attraper,抓住,11
645,image,图像,11
646,dangereux,危险的,11
647,téléphoner,称呼,11
648,immédiatement,立即地,11
649,reconnaître,认出,11
650,remercier,感谢,11
651,vue,视图,11
652,inquiéter,担心,11
653,suivant,下列的,11
654,tennis,网球,11
655,sonner,戒指,11
656,laver,紫菜,11
657,découvrir,发现,11
658,(,（,11
659,vieux,老,11
660,couper,切,11
661,bulle,公牛队,11
662,hurler,投手,11
663,ouais,是的,11
664,cible,目标,11
665,marécage,沼泽,11
666,casier,储物柜,10
667,santé,健康,10
668,supérieur,优越的,10
669,système,系统,10
670,combien,多少,10
671,effectivement,有效地,10
672,également,还,10
673,auprès,和,10
674,cinquième,第五,10
675,effet,影响,10
676,chimie,化学,10
677,bref,短的,10
678,métier,工作,10
679,lycée,中学,10
680,près,关闭,10
681,limite,限制,10
682,quatre,四,10
683,fameux,著名的,10
684,souvent,经常,10
685,plaire,取悦,10
686,réellement,真的,10
687,erreur,错误,10
688,quartier,邻里,10
689,accord,符合,10
690,plupart,普卢帕特,10
691,traiter,治疗,10
692,provoquer,去挑衅,10
693,difficile,艰难梭菌,10
694,téléphone,电话,10
695,responsable,负责任的,10
696,risquer,风险,10
697,grave,坟,10
698,entier,全部的,10
699,marier,结婚,10
700,terrible,糟糕的,10
701,attitude,态度,10
702,humain,人类,10
703,bain,贝恩,10
704,papa,爸爸,10
705,inscrire,登记,10
706,Muku,你,10
707,secret,秘密,10
708,offrir,提供,10
709,hein,海因,10
710,vérifier,查看,10
711,condamner,谴责,10
712,approcher,方法,10
713,occuper,占据,10
714,tendre,投标,10
715,mien,面,10
716,acte,行为,10
717,idéal,理想的,10
718,rôle,角色,10
719,exposition,博览会,10
720,internet,互联网,10
721,couteau,刀,10
722,serrer,挤,10
723,forcer,力量,10
724,message,信息,10
725,comportement,行为,10
726,certainement,当然,10
727,blague,玩笑,10
728,électrique,电的,10
729,entièrement,完全,10
730,science,科学,10
731,jeu,游戏,10
732,justement,确切地,10
733,récit,叙述,10
734,bête,兽,10
735,courage,勇气,10
736,bouger,移动,10
737,poids,重量,10
738,individuel,个人,10
739,atmosphère,气氛,10
740,mensonge,说谎,10
741,exister,存在,10
742,parfaitement,完美,10
743,disparaître,消失,10
744,brimade,欺凌,10
745,hier,这里,10
746,exploser,爆炸,10
747,soudain,突然,10
748,magasin,店铺,10
749,gamin,孩子,10
750,recommencer,重新开始,10
751,zombie,僵尸,10
752,l,我,10
753,Miyuki,美雪,10
754,s,s,9
755,adresse,地址,9
756,est,东方,9
757,étude,学习,9
758,recherche,研究,9
759,chemin,小路,9
760,moyen,平均的,9
761,enfance,童年,9
762,convaincre,说服,9
763,scène,场景,9
764,tombe,落下,9
765,3,3,9
766,administration,行政,9
767,équipe,团队,9
768,précisément,恰恰,9
769,séropositif,艾滋病毒呈阳性,9
770,respirer,呼吸,9
771,sport,运动,9
772,titre,滴度,9
773,crèche,托儿所,9
774,réunion,会议,9
775,terre,土地,9
776,amuser,逗乐,9
777,fermer,关闭,9
778,ouvert,打开,9
779,milieu,环境,9
780,voisin,我可以,9
781,selon,根据,9
782,souffrir,遭受,9
783,personnalité,性格,9
784,extérieur,外部,9
785,local,当地的,9
786,glissière,滑动,9
787,intéresser,有兴趣,9
788,ordinateur,电脑,9
789,dossier,卷宗,9
790,appareil,设备,9
791,tirette,拉链,9
792,ajouter,添加,9
793,Antivol,防小偷,9
794,écrier,写,9
795,pire,皮雷,9
796,aider,帮助,9
797,haut,高的,9
798,manque,缺少,9
799,juger,法官,9
800,lèvre,唇,9
801,faible,虚弱的,9
802,habitude,习惯,9
803,résoudre,解决,9
804,descendre,下来,9
805,supporter,支持者,9
806,geste,手势,9
807,participer,参加,9
808,prévoir,期待,9
809,mari,马里,9
810,réponse,回答,9
811,porno,色情,9
812,électromécanique,机电的,9
813,venger,复仇,9
814,prier,祈祷,8
815,rassurer,安抚,8
816,médical,医疗的,8
817,avril,艾薇儿,8
818,pénible,难的,8
819,assurer,确保,8
820,phase,阶段,8
821,uniquement,独特地,8
822,travers,穿越者,8
823,décision,决定,8
824,cool,凉爽的,8
825,réaction,反应,8
826,facilement,容易地,8
827,poursuivre,追求,8
828,gagner,赚,8
829,hésiter,犹豫,8
830,département,部门,8
831,bêtise,愚蠢,8
832,important,重要的,8
833,second,第二,8
834,particulier,特别的,8
835,étonner,震惊,8
836,expression,表达,8
837,posséder,具有,8
838,2,2,8
839,copine,女朋友,8
840,hors,开胃菜,8
841,pédagogique,教育学,8
842,dehors,出去,8
843,courant,时事报,8
844,aide,助手,8
845,admettre,承认,8
846,impossible,不可能的,8
847,angoisse,痛苦,8
848,dormir,睡觉,8
849,éprouver,经验,8
850,assassinat,暗杀者,8
851,interdire,禁止,8
852,province,省,8
853,gâteau,蛋糕,8
854,grand-mère,祖母,8
855,durer,最后的,8
856,chaussure,鞋,8
857,forme,形状,8
858,jogging,跑步,8
859,insister,坚持,8
860,toilette,盥洗用品,8
861,ball,球,8
862,tirer,拉,8
863,détail,细节,8
864,créer,创造,8
865,minimum,最低限度,8
866,cyanure,氰化物,8
867,potassium,钾,8
868,psychologique,心理,8
869,idiot,笨蛋,8
870,amusant,有趣,8
871,sécurité,安全,8
872,nécessaire,必要的,8
873,écran,屏幕,8
874,payer,付款人,8
875,appartenir,属于,8
876,obtenir,得到,8
877,exprimer,表达,8
878,fier,铁,8
879,coin,硬币,8
880,décharge,倾倒,8
881,membre,成员,8
882,talent,天赋,8
883,couler,流动,8
884,remonter,回去,8
885,sursauter,跳,8
886,éliminer,排除,8
887,cou,凑,8
888,châtiment,惩罚,8
889,dénoncer,声讨,8
890,afin,为了,8
891,totalement,完全,8
892,monsieur,先生,8
893,distance,距离,8
894,fenêtre,窗户,8
895,organiser,组织者,8
896,total,全部的,8
897,fou,缶,8
898,informer,告密者,8
899,sauver,节省,8
900,caresser,抚摸,8
901,souci,担心,8
902,reposer,休息,8
903,cadavre,尸体,8
904,manie,狂躁,8
905,bouton,布顿,8
906,’,False,8
907,inventeur,发明者,8
908,content,内容,8
909,rapporter,报告,7
910,merci,谢谢,7
911,lors,期间,7
912,suggérer,建议,7
913,floutage,模糊,7
914,argent,银色,7
915,nombreux,许多,7
916,individu,个人,7
917,figurer,人物,7
918,mademoiselle,小姐,7
919,bande,乐队,7
920,partout,到处,7
921,publier,发布,7
922,certes,当然,7
923,médecin,医生,7
924,prêt,准备好,7
925,élever,增加,7
926,genou,膝盖,7
927,parmi,之中,7
928,compassion,同情,7
929,héros,英雄,7
930,secours,宽慰,7
931,inutile,无用,7
932,conversation,对话,7
933,confier,委托,7
934,prouver,证明,7
935,enceint,孕,7
936,cérémonie,仪式,7
937,vih,艾滋病病毒,7
938,lecture,演讲,7
939,moitié,一半,7
940,commentaire,评论,7
941,existence,存在,7
942,envisager,考虑,7
943,adorer,爱,7
944,doux,柔软的,7
945,environ,环境,7
946,blanc,布兰克,7
947,prochain,下一个,7
948,deviner,猜测,7
949,battre,打,7
950,pain,疼痛,7
951,signe,西涅,7
952,surprendre,惊喜,7
953,malheureusement,很遗憾,7
954,aîné,长老,7
955,véritable,真的,7
956,clé,钥匙,7
957,accuser,原告,7
958,âme,灵魂,7
959,effondrer,坍塌,7
960,balle,球,7
961,prévenir,防止,7
962,intérêt,兴趣,7
963,fermeture,关闭,7
964,repenser,重新思考,7
965,appuyer,按,7
966,signifier,能指,7
967,tableau,画面,7
968,produire,生产,7
969,tester,测试员,7
970,nez,内兹,7
971,chéri,亲爱的,7
972,Happy,快乐的,7
973,Town,镇,7
974,cadeau,礼物,7
975,encourager,鼓励,7
976,cri,呼喊声,7
977,face,脸,7
978,froid,寒冷的,7
979,meurtre,谋杀,7
980,amener,带来,7
981,étrange,奇怪的,7
982,sincèrement,真挚地,7
983,copie,复制,7
984,pression,压力,7
985,espoir,希望,7
986,respecter,尊重,7
987,bébé,婴儿,7
988,horrible,可怕,7
989,facile,容易的,7
990,ressentir,感觉,7
991,clair,克莱尔,7
992,lentement,慢慢地,7
993,rouge,胭脂,7
994,figure,数字,7
995,tôt,早期的,7
996,vélo,自行车,7
997,étage,地面,7
998,juillet,七月,7
999,pièce,片,7
1000,pii,皮伊,7
1001,réveil,唤醒,7
1002,témoin,证人,7
1003,décidément,坚决地,7
1004,lave,制作,7
1005,hamburger,汉堡包,7
1006,réveiller,唤醒,7
1007,biscuit,饼干,7
1008,arme,武装的,7
1009,Seguchi,濑口,7
1010,quotidien,日常的,6
1011,priver,剥夺,6
1012,traverser,跨越,6
1013,colère,愤怒,6
1014,fonction,功能,6
1015,extraordinaire,非凡的,6
1016,étudier,学习,6
1017,plaindre,抱怨,6
1018,dépasser,超过,6
1019,consacrer,奉献,6
1020,ci,词,6
1021,dur,杜尔,6
1022,anglais,英语,6
1023,but,但,6
1024,désolé,对不起,6
1025,rêver,梦,6
1026,leçon,课,6
1027,apprécier,欣赏,6
1028,passion,热情,6
1029,développer,发展,6
1030,discours,演讲,6
1031,programme,程序,6
1032,contact,接触,6
1033,léger,光,6
1034,respiration,呼吸,6
1035,patience,耐心,6
1036,désespoir,绝望,6
1037,volonté,将要,6
1038,ferme,农场,6
1039,volontairement,自愿地,6
1040,18,18,6
1041,service,服务,6
1042,morceau,片,6
1043,grillage,栅栏,6
1044,fourrure,毛皮,6
1045,promettre,承诺,6
1046,revoir,再见,6
1047,activité,活动,6
1048,vestiaire,更衣室,6
1049,suffisamment,足够的,6
1050,dix,迪克斯,6
1051,sommeil,睡觉,6
1052,remettre,放回去,6
1053,démissionner,辞职,6
1054,montre,手表,6
1055,violence,暴力,6
1056,spécialement,尤其,6
1057,émotion,情感,6
1058,observer,观察者,6
1059,marche,马尔凯,6
1060,importance,重要性,6
1061,fillette,小姑娘,6
1062,tranquille,冷静的,6
1063,poste,然后,6
1064,compliqué,复杂的,6
1065,récupérer,恢复,6
1066,scandale,丑闻,6
1067,mentir,撒谎,6
1068,garde,加尔德,6
1069,voyage,航程,6
1070,présent,这里,6
1071,veille,前一天,6
1072,passé,过去的,6
1073,adieu,再见,6
1074,voiture,车,6
1075,frapper,打,6
1076,au-dessus,多于,6
1077,;,False,6
1078,b.,b.,6
1079,a.,A。,6
1080,électrocuter,触电,6
1081,objet,对象,6
1082,mise,米塞,6
1083,jury,陪审团,6
1084,capacité,能力,6
1085,six,六,6
1086,bientôt,很快,6
1087,maintenir,维持,6
1088,game,游戏,6
1089,center,中心,6
1090,primer,底漆,6
1091,aise,简单的,6
1092,complice,同案犯,6
1093,terme,学期,6
1094,différence,不同之处,6
1095,analyse,分析,6
1096,printemps,春天,6
1097,parvenir,达到,6
1098,ça,那,6
1099,ah,啊,6
1100,conseil,建议,6
1101,mai,可能,6
1102,maths,数学,6
1103,joie,乔伊,6
1104,faux,假的,6
1105,gêner,阻碍,6
1106,procéder,继续,6
1107,répandre,传播,6
1108,effort,努力,6
1109,étouffer,呛,6
1110,semblant,相似的,6
1111,Takahiro,贵宏,6
1112,Maki,真木,6
1113,coller,科勒,6
1114,canette,能,6
1115,fuir,逃跑,6
1116,mordre,咬,6
1117,essuyer,擦拭,6
1118,taire,牧师,6
1119,échec,失败,6
1120,traditionnel,传统的,6
1121,mars,火星,6
1122,gentillesse,善良,6
1123,assiette,盘子,6
1124,Mariko,真理子,6
1125,envers,向,6
1126,certificat,证书,6
1127,accourir,跑起来,6
1128,employé,员工,6
1129,intelligent,聪明的,6
1130,carotte,萝卜,6
1131,feu,火,6
1132,Domino,骨牌,6
1133,Burger,汉堡包,6
1134,trembler,发抖,6
1135,gêne,尴尬的,6
1136,boue,泥,6
1137,galerie,画廊,6
1138,o,哦,6
1139,Hein,海因,5
1140,campagne,活动,5
1141,distribution,分配,5
1142,croissance,生长,5
1143,moyenne,平均的,5
1144,égal,平等的,5
1145,cobaye,豚鼠,5
1146,foi,他是,5
1147,tendance,趋势,5
1148,verre,玻璃,5
1149,calcium,钙,5
1150,développement,发展,5
1151,énormément,极大地,5
1152,emporter,带走,5
1153,peut-,能-,5
1154,engager,从事,5
1155,mission,使命,5
1156,échapper,逃脱,5
1157,fonctionner,功能,5
1158,départ,离开,5
1159,respect,尊重,5
1160,survenir,发生,5
1161,convoquer,召开,5
1162,fixer,固定器,5
1163,gosse,戈斯,5
1164,série,系列,5
1165,ennui,倦怠,5
1166,bel,贝尔,5
1167,correct,正确的,5
1168,interrompre,打断,5
1169,lumière,光,5
1170,sérieusement,严重地,5
1171,heureusement,幸运的是,5
1172,surveiller,观看,5
1173,ridicule,嘲笑,5
1174,eh,呃,5
1175,toutefois,然而,5
1176,présence,在场,5
1177,roman,罗马,5
1178,transmettre,发送,5
1179,porteur,载体,5
1180,risque,有伤风化的,5
1181,voie,方式,5
1182,incroyable,惊人的,5
1183,infecter,感染,5
1184,énorme,巨大的,5
1185,évident,明显的,5
1186,repas,一顿饭,5
1187,infirmerie,医务室,5
1188,peluche,豪华的,5
1189,motif,主题,5
1190,entraîner,火车,5
1191,gonfler,胀,5
1192,confirmer,确认,5
1193,conclure,得出结论,5
1194,glisser,滑动,5
1195,profondément,深,5
1196,causer,原因,5
1197,celui-ci,唯一的那个,5
1198,Kitahara,北原,5
1199,fumer,吸烟,5
1200,20,20,5
1201,majorité,多数,5
1202,mémoire,记忆,5
1203,mélanger,混合,5
1204,retirer,提取,5
1205,droguerie,药店,5
1206,établir,建立,5
1207,sauter,索特,5
1208,récemment,最近,5
1209,déposer,订金,5
1210,entourer,环绕,5
